#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
116,HB-0126,100,100,0,0,0
116,HB-0132,100,100,0,0,0
116,HB-0138,100,95,-,-,5
116,HB-0149,100,100,0,0,0
116,HB-0159,100,100,0,0,0
116,HB-0210,100,100,0,0,0
116,HB-0211,100,100,0,0,0
116,HB-0219,100,100,0,0,0
130,HB-0128,99,90,4,0,5
131,HB-0226,98,90,8,0,-
132,HB-0113,96,75,8,8,5
133,HB-0071,95,95,0,0,0
133,HB-0099,95,95,0,0,-
133,HB-0124,95,95,0,0,-
133,HB-0151,95,95,0,0,0
137,HB-0098,94,90,4,0,0
137,HB-0217,94,90,4,0,0
139,HB-0223,92,70,12,0,10
140,HB-0047,90,90,0,0,0
140,HB-0067,90,90,0,0,0
140,HB-0079,90,90,0,0,0
140,HB-0141,90,90,0,0,0
140,HB-0218,90,90,0,0,0
140,HB-0231,90,90,0,0,-
140,HB-0233,90,90,0,0,0
147,HB-0080,89,85,4,0,0
147,HB-0145,89,85,4,0,0
149,HB-0054,88,80,0,8,-
149,HB-0142,88,70,8,0,10
151,HB-0133,87,55,32,0,-
152,HB-0109,86,65,16,0,5
152,HB-0122,86,70,0,16,0
154,HB-0070,85,85,0,-,-
154,HB-0103,85,85,0,0,0
154,HB-0119,85,85,0,0,0
154,HB-0129,85,85,0,0,0
154,HB-0158,85,85,0,0,0
154,HB-0166,85,85,0,0,0
160,HB-0095,84,80,4,0,0
161,HB-0049,83,75,8,0,0
161,HB-0116,83,75,8,0,0
163,HB-0123,82,70,12,0,0
164,HB-0075,80,80,0,0,0
164,HB-0076,80,75,0,0,5
164,HB-0115,80,80,0,0,0
164,HB-0140,80,80,0,0,0
164,HB-0150,80,80,0,0,0
169,HB-0102,78,70,8,0,0
169,HB-0121,78,45,28,0,5
169,HB-0234,78,70,8,-,0
172,HB-0184,77,65,12,0,0
173,HB-0041,75,75,0,0,0
173,HB-0082,75,70,0,0,5
173,HB-0104,75,70,0,0,5
173,HB-0130,75,75,0,0,0
173,HB-0174,75,75,0,-,-
173,HB-0189,75,75,0,0,0
179,HB-0078,73,60,0,8,5
179,HB-0093,73,65,8,0,0
181,HB-0108,70,70,0,0,0
181,HB-0127,70,65,0,0,5
181,HB-0148,70,70,0,0,0
181,HB-0156,70,70,0,0,0
181,HB-0165,70,70,0,0,0
181,HB-0169,70,70,0,-,-
181,HB-0172,70,70,0,0,0
188,HB-0180,66,50,8,8,-
189,HB-0131,65,65,0,-,0
189,HB-0134,65,65,0,0,0
189,HB-0136,65,65,0,0,-
189,HB-0157,65,65,0,0,0
189,HB-0163,65,65,-,-,-
189,HB-0175,65,65,0,0,0
195,HB-0101,64,60,4,0,0
196,HB-0143,60,60,0,0,0
196,HB-0188,60,60,0,0,0
196,HB-0230,60,60,0,-,-
196,HB-0232,60,60,0,-,0
200,HB-0182,57,45,12,0,0
201,HB-0107,55,35,20,0,0
201,HB-0112,55,55,0,0,0
201,HB-0154,55,55,0,0,0
204,HB-0111,53,40,0,8,5
204,HB-0207,53,45,0,8,-
206,HB-0173,45,45,0,0,0
207,HB-0187,35,35,-,-,-
208,HB-0147,30,30,0,-,-
209,HB-0144,25,25,-,-,-
209,HB-0161,25,25,0,0,0
209,HB-0177,25,25,0,0,0
209,HB-0178,25,25,0,0,0
209,HB-0228,25,25,-,-,-
209,HB-0235,25,25,0,0,0
215,HB-0139,20,20,0,-,0
215,HB-0170,20,20,0,0,0
215,HB-0229,20,20,0,0,0
218,HB-0135,15,15,0,0,0
218,HB-0164,15,15,0,0,0
218,HB-0167,15,15,0,0,0
218,HB-0171,15,15,0,0,0
218,HB-0186,15,15,0,0,0
223,HB-0146,0,0,0,0,0
223,HB-0153,0,0,0,0,0
223,HB-0160,0,0,0,0,0
223,HB-0162,0,0,0,0,0
223,HB-0168,0,0,0,0,-
223,HB-0181,0,0,0,0,0
223,HB-0183,0,0,0,0,0
223,HB-0185,0,0,0,0,0
