#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
441,ZJ-0393,100,100,0,0,-
441,ZJ-0395,100,100,0,-,-
441,ZJ-0399,100,95,0,0,5
441,ZJ-0417,100,100,0,0,0
441,ZJ-0419,100,100,0,0,0
441,ZJ-0440,100,100,0,-,-
441,ZJ-0461,100,100,0,0,-
441,ZJ-0467,100,100,0,0,0
441,ZJ-0468,100,100,0,0,-
441,ZJ-0474,100,100,0,0,-
441,ZJ-0483,100,100,0,0,0
441,ZJ-0513,100,100,0,0,0
441,ZJ-0515,100,100,0,0,0
441,ZJ-0516,100,100,0,0,0
441,ZJ-0539,100,100,0,0,0
441,ZJ-0543,100,100,0,0,-
441,ZJ-0550,100,100,0,0,0
441,ZJ-0621,100,100,0,0,0
441,ZJ-0631,100,100,-,0,-
441,ZJ-0659,100,100,0,0,0
441,ZJ-0667,100,100,0,0,0
441,ZJ-0670,100,95,0,0,5
441,ZJ-0687,100,100,0,-,-
441,ZJ-0695,100,100,0,0,0
441,ZJ-0753,100,100,0,0,-
482,ZJ-0206,99,95,4,-,-
482,ZJ-0251,99,95,4,0,0
482,ZJ-0283,99,75,24,-,-
482,ZJ-0285,99,95,4,0,0
482,ZJ-0303,99,95,4,-,-
482,ZJ-0359,99,95,4,-,-
482,ZJ-0445,99,95,4,-,-
482,ZJ-0447,99,95,4,0,0
482,ZJ-0451,99,95,4,-,-
482,ZJ-0497,99,95,4,0,-
482,ZJ-0502,99,95,4,0,-
482,ZJ-0552,99,95,4,-,-
482,ZJ-0624,99,95,4,0,0
482,ZJ-0632,99,95,4,0,0
482,ZJ-0642,99,95,4,0,0
482,ZJ-0656,99,95,4,0,0
498,ZJ-0212,98,85,8,0,5
498,ZJ-0390,98,90,8,0,0
498,ZJ-0464,98,90,8,0,0
498,ZJ-0488,98,90,8,-,-
498,ZJ-0629,98,90,8,0,0
498,ZJ-0672,98,90,0,8,-
504,ZJ-0248,97,65,28,4,0
504,ZJ-0408,97,85,0,12,0
504,ZJ-0595,97,85,12,0,0
507,ZJ-0363,96,60,24,12,0
508,ZJ-0222,95,95,0,0,-
508,ZJ-0224,95,95,0,0,-
508,ZJ-0236,95,95,0,0,0
508,ZJ-0242,95,95,0,0,0
508,ZJ-0260,95,95,0,0,0
508,ZJ-0282,95,90,0,0,5
508,ZJ-0387,95,90,0,-,5
508,ZJ-0410,95,95,-,-,-
508,ZJ-0484,95,95,-,-,-
508,ZJ-0501,95,90,0,0,5
508,ZJ-0503,95,95,0,0,-
508,ZJ-0544,95,75,20,0,0
508,ZJ-0593,95,95,0,0,0
508,ZJ-0613,95,90,0,0,5
508,ZJ-0626,95,95,0,0,-
508,ZJ-0630,95,95,0,0,0
508,ZJ-0635,95,95,0,0,0
508,ZJ-0641,95,95,0,0,0
508,ZJ-0701,95,95,0,0,-
508,ZJ-0702,95,95,0,0,0
528,ZJ-0338,94,90,4,0,0
528,ZJ-0344,94,90,4,0,0
528,ZJ-0471,94,90,4,0,0
528,ZJ-0538,94,90,4,0,0
528,ZJ-0618,94,85,4,0,5
533,ZJ-0329,93,65,20,8,0
533,ZJ-0400,93,85,8,-,0
533,ZJ-0429,93,65,20,8,0
533,ZJ-0495,93,80,8,0,5
533,ZJ-0685,93,85,8,0,0
533,ZJ-0703,93,85,0,8,-
539,ZJ-0403,92,80,0,12,0
539,ZJ-0437,92,75,12,0,5
541,ZJ-0278,91,75,8,8,0
542,ZJ-0191,90,90,-,0,0
542,ZJ-0215,90,85,0,0,5
542,ZJ-0268,90,90,0,0,0
542,ZJ-0292,90,90,0,0,0
542,ZJ-0337,90,90,0,0,-
542,ZJ-0346,90,90,0,0,-
542,ZJ-0366,90,90,0,0,-
542,ZJ-0396,90,90,0,0,-
542,ZJ-0439,90,70,20,0,0
542,ZJ-0443,90,90,0,0,0
542,ZJ-0449,90,90,0,0,0
542,ZJ-0564,90,90,0,0,0
542,ZJ-0571,90,90,0,0,0
542,ZJ-0594,90,70,20,0,0
542,ZJ-0599,90,70,20,0,0
542,ZJ-0604,90,85,0,0,5
542,ZJ-0606,90,90,0,0,0
542,ZJ-0620,90,90,0,0,0
542,ZJ-0660,90,90,0,0,0
542,ZJ-0671,90,90,0,0,0
542,ZJ-0686,90,90,0,0,0
563,ZJ-0358,89,85,4,0,0
563,ZJ-0430,89,85,4,0,-
563,ZJ-0457,89,85,4,-,-
563,ZJ-0469,89,85,4,0,0
563,ZJ-0592,89,85,4,-,0
563,ZJ-0597,89,85,4,-,-
563,ZJ-0699,89,65,24,0,0
570,ZJ-0265,88,60,28,-,0
570,ZJ-0327,88,80,8,0,0
570,ZJ-0392,88,80,0,8,0
573,ZJ-0547,87,75,4,8,-
574,ZJ-0290,85,85,0,0,-
574,ZJ-0294,85,85,0,0,0
574,ZJ-0355,85,65,20,0,0
574,ZJ-0422,85,85,0,0,0
574,ZJ-0460,85,85,0,-,-
574,ZJ-0466,85,85,0,0,0
574,ZJ-0481,85,85,0,0,0
574,ZJ-0492,85,85,0,0,0
574,ZJ-0498,85,85,0,0,-
574,ZJ-0508,85,65,20,-,-
574,ZJ-0553,85,65,20,0,0
574,ZJ-0567,85,85,0,0,0
574,ZJ-0637,85,85,0,0,0
574,ZJ-0638,85,85,0,0,-
588,ZJ-0360,84,55,24,0,5
588,ZJ-0438,84,80,4,0,0
588,ZJ-0473,84,80,4,-,-
588,ZJ-0533,84,75,4,0,5
592,ZJ-0250,83,75,8,0,0
592,ZJ-0496,83,75,0,8,0
592,ZJ-0535,83,70,8,0,5
595,ZJ-0596,82,70,12,0,0
596,ZJ-0572,81,60,16,-,5
596,ZJ-0655,81,65,0,16,0
598,ZJ-0271,80,80,0,0,-
598,ZJ-0480,80,80,0,0,-
598,ZJ-0566,80,80,0,0,-
598,ZJ-0574,80,75,0,0,5
598,ZJ-0587,80,80,0,0,0
598,ZJ-0588,80,80,0,0,0
598,ZJ-0623,80,80,0,0,0
598,ZJ-0633,80,80,0,0,-
598,ZJ-0647,80,80,0,-,0
607,ZJ-0462,79,75,4,0,0
607,ZJ-0559,79,70,4,0,5
607,ZJ-0682,79,75,4,0,0
610,ZJ-0217,78,70,8,-,0
610,ZJ-0368,78,70,8,0,0
610,ZJ-0420,78,70,0,8,0
610,ZJ-0674,78,70,0,8,-
614,ZJ-0580,77,65,12,0,0
615,ZJ-0030,75,75,0,0,0
615,ZJ-0193,75,75,0,0,0
615,ZJ-0354,75,75,0,0,0
615,ZJ-0372,75,75,0,0,0
615,ZJ-0569,75,75,0,0,0
615,ZJ-0573,75,75,0,0,0
615,ZJ-0610,75,75,0,0,-
615,ZJ-0654,75,75,0,0,0
623,ZJ-0530,74,70,4,0,0
623,ZJ-0634,74,70,4,0,0
