#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
335,SH-0265,100,100,0,0,0
335,SH-0266,100,95,0,0,5
335,SH-0291,100,100,0,0,0
335,SH-0304,100,100,0,0,-
335,SH-0321,100,100,0,0,0
335,SH-0350,100,100,0,0,-
335,SH-0352,100,100,0,0,0
335,SH-0374,100,100,0,0,0
335,SH-0410,100,100,0,0,0
335,SH-0428,100,95,0,-,5
335,SH-0438,100,100,0,0,0
335,SH-0444,100,100,0,0,0
335,SH-0478,100,100,0,0,0
335,SH-0481,100,100,0,-,-
335,SH-0485,100,100,0,0,0
335,SH-0501,100,100,0,0,0
335,SH-0511,100,100,0,0,0
335,SH-0534,100,100,0,0,0
365,SH-0098,99,90,4,0,5
365,SH-0107,99,70,24,0,5
365,SH-0109,99,95,4,-,0
365,SH-0123,99,95,4,0,0
365,SH-0169,99,75,16,8,-
365,SH-0192,99,90,0,4,5
365,SH-0215,99,90,4,0,5
365,SH-0216,99,75,0,24,-
365,SH-0230,99,95,4,0,-
365,SH-0279,99,95,4,0,0
365,SH-0282,99,70,24,0,5
365,SH-0305,99,95,4,0,-
365,SH-0426,99,95,4,0,0
365,SH-0457,99,75,24,0,0
365,SH-0459,99,95,4,0,0
365,SH-0463,99,95,4,0,-
365,SH-0506,99,95,4,-,-
365,SH-0510,99,75,16,8,0
365,SH-0537,99,95,4,0,-
384,SH-0113,98,90,0,8,-
384,SH-0146,98,90,8,0,0
384,SH-0275,98,90,8,-,-
384,SH-0464,98,90,8,-,-
388,SH-0209,97,85,12,0,0
388,SH-0512,97,85,4,8,0
390,SH-0186,96,80,16,0,0
391,SH-0036,95,95,0,0,-
391,SH-0070,95,95,0,0,0
391,SH-0079,95,95,0,-,-
391,SH-0117,95,90,0,0,5
391,SH-0129,95,60,12,8,15
391,SH-0175,95,95,0,-,-
391,SH-0184,95,95,0,-,0
391,SH-0220,95,95,0,0,0
391,SH-0240,95,95,0,0,0
391,SH-0248,95,70,20,0,5
391,SH-0250,95,75,20,0,0
391,SH-0271,95,95,0,0,-
391,SH-0276,95,95,0,0,-
391,SH-0286,95,75,8,12,0
391,SH-0297,95,75,20,0,0
391,SH-0298,95,95,0,-,-
391,SH-0317,95,95,0,-,-
391,SH-0417,95,70,20,0,5
391,SH-0427,95,95,0,-,-
391,SH-0436,95,70,20,0,5
391,SH-0470,95,90,0,-,5
391,SH-0530,95,95,0,0,0
413,SH-0200,94,90,4,0,0
413,SH-0257,94,90,4,-,-
413,SH-0302,94,90,4,0,0
413,SH-0386,94,65,16,8,5
413,SH-0462,94,85,4,0,5
418,SH-0255,93,85,0,8,0
418,SH-0441,93,65,28,0,0
418,SH-0495,93,65,28,0,-
421,SH-0261,92,80,12,0,-
422,SH-0030,91,75,4,12,0
423,SH-0096,90,90,0,0,0
423,SH-0142,90,90,0,-,0
423,SH-0182,90,90,0,-,-
423,SH-0188,90,90,0,0,0
423,SH-0202,90,90,0,0,0
423,SH-0245,90,90,0,0,0
423,SH-0269,90,90,-,0,-
423,SH-0278,90,70,20,0,0
423,SH-0287,90,90,0,-,-
423,SH-0295,90,90,0,-,-
423,SH-0409,90,90,0,0,0
423,SH-0450,90,90,0,-,-
423,SH-0487,90,90,0,0,-
436,SH-0343,89,65,20,4,0
437,SH-0310,88,80,8,0,0
438,SH-0259,87,75,12,0,0
438,SH-0309,87,75,12,0,0
440,SH-0503,86,70,16,-,-
441,SH-0133,85,85,-,0,-
441,SH-0144,85,80,0,0,5
441,SH-0157,85,85,0,0,0
441,SH-0292,85,85,0,0,0
441,SH-0306,85,85,0,-,-
441,SH-0460,85,85,0,0,0
441,SH-0468,85,85,0,0,0
441,SH-0535,85,85,0,0,0
441,SH-0536,85,85,0,0,0
450,SH-0114,83,75,8,0,0
450,SH-0176,83,55,28,0,0
450,SH-0252,83,75,0,8,0
450,SH-0345,83,75,8,-,-
454,SH-0233,82,70,0,12,0
454,SH-0340,82,70,12,0,0
454,SH-0526,82,65,12,0,5
457,SH-0168,81,65,8,8,0
457,SH-0341,81,65,8,8,-
459,SH-0164,80,60,20,0,-
459,SH-0232,80,80,0,-,0
459,SH-0246,80,80,0,0,0
459,SH-0274,80,80,0,-,-
459,SH-0380,80,75,0,0,5
459,SH-0517,80,80,0,0,-
465,SH-0214,79,70,4,0,5
465,SH-0433,79,75,4,0,0
467,SH-0249,78,70,8,0,0
467,SH-0325,78,70,8,0,0
467,SH-0332,78,70,8,0,0
467,SH-0527,78,70,0,8,0
471,SH-0064,75,75,0,0,0
471,SH-0112,75,75,0,0,0
471,SH-0177,75,75,0,0,0
471,SH-0264,75,75,0,0,0
471,SH-0402,75,75,0,0,0
471,SH-0486,75,70,-,-,5
471,SH-0528,75,75,0,0,0
471,SH-0532,75,75,0,0,0
479,SH-0071,74,65,4,0,5
479,SH-0228,74,30,20,24,0
479,SH-0539,74,50,24,0,0
482,SH-0196,70,70,0,0,-
482,SH-0204,70,70,0,0,0
482,SH-0258,70,70,0,0,0
482,SH-0263,70,70,0,0,0
482,SH-0294,70,70,0,-,-
482,SH-0339,70,70,0,0,0
482,SH-0465,70,70,-,-,-
482,SH-0514,70,70,0,0,0
482,SH-0525,70,65,0,0,5
482,SH-0529,70,70,0,0,-
492,SH-0351,69,65,4,0,0
493,SH-0277,68,60,8,-,-
494,SH-0145,65,65,0,0,0
494,SH-0166,65,65,0,-,-
494,SH-0170,65,65,0,0,-
494,SH-0262,65,60,-,0,5
494,SH-0313,65,65,-,-,-
494,SH-0326,65,65,0,0,-
494,SH-0330,65,65,0,0,0
494,SH-0333,65,65,0,0,0
494,SH-0349,65,65,0,0,0
494,SH-0475,65,65,0,0,0
504,SH-0260,64,60,4,0,0
504,SH-0338,64,40,0,24,-
506,SH-0136,63,55,8,0,0
506,SH-0300,63,55,8,-,0
506,SH-0336,63,55,8,0,0
509,SH-0335,60,60,0,0,0
510,SH-0315,59,55,4,0,0
511,SH-0431,57,45,0,12,0
512,SH-0519,56,40,16,0,-
513,SH-0328,55,55,0,0,0
513,SH-0538,55,55,0,0,0
515,SH-0281,53,40,8,0,5
516,SH-0183,50,50,0,-,-
516,SH-0235,50,50,0,0,0
516,SH-0346,50,50,0,0,0
519,SH-0323,46,25,8,8,5
