#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
171,SD-0131,136,100,28,8,-
171,SD-0132,136,100,28,8,0
171,SD-0284,136,100,36,0,0
171,SD-0440,136,100,8,8,20
171,SD-0625,136,100,8,8,20
171,SD-0693,136,100,20,16,0
171,SD-0720,136,80,48,8,0
171,SD-0749,136,100,20,16,0
179,SD-0134,135,95,32,8,-
179,SD-0180,135,100,20,0,15
179,SD-0673,135,90,20,0,25
179,SD-0704,135,95,28,12,-
179,SD-0706,135,95,40,0,0
184,SD-0259,134,90,28,16,0
184,SD-0392,134,95,24,-,15
186,SD-0043,133,100,20,8,5
186,SD-0085,133,95,20,8,10
186,SD-0097,133,100,20,8,5
186,SD-0101,133,100,28,0,5
186,SD-0177,133,100,28,0,5
186,SD-0202,133,100,20,8,5
186,SD-0203,133,100,20,8,5
186,SD-0248,133,100,28,0,5
186,SD-0429,133,100,20,8,5
186,SD-0647,133,100,28,0,5
186,SD-0712,133,100,20,8,5
186,SD-0746,133,100,28,0,5
198,SD-0016,132,100,32,0,-
198,SD-0026,132,100,32,0,-
198,SD-0046,132,95,32,0,5
198,SD-0143,132,100,24,8,0
198,SD-0153,132,100,24,8,0
198,SD-0162,132,100,24,8,0
198,SD-0198,132,100,32,0,-
198,SD-0200,132,100,32,0,0
198,SD-0245,132,95,24,8,5
198,SD-0336,132,100,24,8,0
198,SD-0339,132,95,24,8,5
198,SD-0483,132,100,24,8,0
198,SD-0650,132,100,8,24,0
198,SD-0653,132,100,20,12,0
198,SD-0732,132,100,24,8,0
198,SD-0755,132,95,24,8,5
198,SD-0793,132,100,20,12,0
215,SD-0408,131,90,28,8,5
216,SD-0189,130,90,24,16,0
216,SD-0444,130,90,24,16,-
218,SD-0037,129,70,36,8,15
218,SD-0111,129,100,24,-,5
218,SD-0147,129,100,24,0,5
218,SD-0191,129,85,24,0,20
218,SD-0225,129,100,24,0,5
218,SD-0285,129,100,24,0,5
218,SD-0328,129,100,24,0,5
218,SD-0700,129,100,16,8,5
218,SD-0721,129,100,16,8,5
218,SD-0790,129,100,24,0,5
228,SD-0044,128,100,20,8,0
228,SD-0047,128,95,28,-,5
228,SD-0116,128,95,20,8,5
228,SD-0137,128,100,0,8,20
228,SD-0160,128,100,28,-,-
228,SD-0195,128,100,28,0,-
228,SD-0258,128,100,28,0,-
228,SD-0278,128,100,28,0,0
228,SD-0360,128,100,28,-,0
228,SD-0393,128,100,28,0,0
228,SD-0410,128,100,20,8,0
228,SD-0430,128,85,20,8,15
228,SD-0459,128,100,28,0,0
228,SD-0605,128,100,20,8,-
228,SD-0609,128,100,28,0,0
228,SD-0648,128,100,28,0,0
228,SD-0678,128,95,28,0,5
228,SD-0685,128,100,20,8,-
228,SD-0718,128,100,28,-,-
228,SD-0731,128,100,28,0,0
228,SD-0747,128,100,28,-,0
228,SD-0750,128,100,28,0,0
228,SD-0789,128,95,28,-,5
228,SD-0792,128,100,28,0,0
252,SD-0187,127,95,24,8,0
252,SD-0218,127,90,24,8,5
252,SD-0274,127,90,32,0,5
252,SD-0276,127,95,12,20,-
252,SD-0729,127,95,0,32,0
252,SD-0784,127,95,32,0,0
258,SD-0145,126,85,28,8,5
259,SD-0084,125,100,20,0,5
259,SD-0114,125,100,20,0,5
259,SD-0117,125,100,20,0,5
259,SD-0138,125,100,20,0,5
259,SD-0199,125,100,20,-,5
259,SD-0310,125,100,20,0,5
259,SD-0345,125,100,20,0,5
259,SD-0688,125,100,20,0,5
267,SD-0126,124,100,24,-,-
267,SD-0182,124,95,24,0,5
267,SD-0216,124,100,24,0,0
267,SD-0219,124,100,24,0,0
267,SD-0226,124,100,24,0,-
267,SD-0282,124,100,24,0,0
267,SD-0295,124,100,24,0,0
267,SD-0296,124,100,24,0,-
267,SD-0313,124,100,24,0,0
267,SD-0358,124,100,-,24,-
267,SD-0368,124,100,24,-,-
267,SD-0411,124,90,0,24,10
267,SD-0414,124,100,24,-,-
267,SD-0555,124,100,24,0,0
267,SD-0583,124,100,0,24,-
267,SD-0651,124,100,24,0,0
267,SD-0670,124,100,16,8,0
267,SD-0676,124,100,24,-,0
267,SD-0677,124,95,24,0,5
267,SD-0682,124,100,24,0,0
267,SD-0694,124,100,16,8,0
267,SD-0728,124,100,24,0,0
267,SD-0778,124,100,24,0,-
267,SD-0801,124,100,24,0,0
267,SD-0803,124,100,24,-,-
267,SD-0823,124,100,24,-,0
293,SD-0080,123,90,28,0,5
293,SD-0115,123,95,20,8,-
293,SD-0125,123,95,28,0,-
293,SD-0154,123,75,40,8,0
293,SD-0253,123,95,28,0,0
293,SD-0463,123,95,20,8,0
293,SD-0633,123,90,20,8,5
293,SD-0655,123,95,28,0,0
293,SD-0690,123,95,20,8,0
293,SD-0725,123,95,28,0,-
293,SD-0796,123,95,28,0,0
304,SD-0234,122,90,32,0,0
304,SD-0456,122,90,32,0,-
306,SD-0050,121,95,4,12,10
306,SD-0183,121,100,8,8,5
306,SD-0185,121,100,8,8,5
306,SD-0407,121,100,4,12,5
306,SD-0418,121,100,8,8,5
306,SD-0433,121,80,20,16,5
306,SD-0701,121,100,16,0,5
306,SD-0771,121,85,20,16,-
314,SD-0151,120,95,20,0,5
314,SD-0170,120,100,20,-,0
314,SD-0190,120,95,20,0,5
314,SD-0205,120,100,4,16,0
314,SD-0224,120,100,20,0,0
314,SD-0251,120,100,20,0,0
314,SD-0255,120,100,0,0,20
314,SD-0266,120,100,20,0,0
314,SD-0270,120,100,20,-,-
314,SD-0291,120,100,20,0,0
314,SD-0311,120,100,20,-,0
314,SD-0322,120,100,20,0,0
314,SD-0367,120,100,-,20,-
314,SD-0396,120,100,20,0,0
314,SD-0409,120,100,20,0,0
314,SD-0568,120,100,20,0,0
314,SD-0627,120,100,20,0,0
314,SD-0667,120,100,20,0,0
314,SD-0668,120,100,20,0,0
314,SD-0672,120,95,20,0,5
314,SD-0681,120,100,20,0,0
314,SD-0702,120,100,20,0,0
314,SD-0709,120,100,20,-,-
314,SD-0710,120,100,20,-,0
314,SD-0719,120,100,20,0,0
314,SD-0739,120,100,20,0,0
314,SD-0743,120,100,8,12,0
314,SD-0831,120,100,20,0,0
342,SD-0241,119,95,24,-,-
342,SD-0250,119,90,24,0,5
342,SD-0272,119,95,24,0,0
342,SD-0359,119,95,24,0,0
342,SD-0432,119,90,24,0,5
342,SD-0485,119,95,12,12,0
342,SD-0691,119,95,24,0,-
342,SD-0806,119,95,24,0,0
350,SD-0113,118,85,20,8,5
350,SD-0314,118,90,20,8,0
350,SD-0449,118,90,28,0,0
350,SD-0744,118,90,4,24,0
350,SD-0758,118,70,40,8,0
355,SD-0292,117,100,12,0,5
355,SD-0305,117,95,8,4,10
355,SD-0656,117,100,8,4,5
355,SD-0669,117,100,12,0,5
355,SD-0711,117,100,4,8,5
355,SD-0768,117,100,12,0,5
361,SD-0102,116,100,8,8,0
361,SD-0233,116,100,8,8,0
361,SD-0317,116,100,16,-,-
361,SD-0458,116,100,8,8,0
361,SD-0503,116,100,16,0,0
361,SD-0679,116,95,8,8,5
361,SD-0734,116,100,16,0,0
368,SD-0035,115,100,0,0,15
368,SD-0247,115,95,20,0,0
368,SD-0330,115,100,-,-,15
368,SD-0416,115,90,20,0,5
368,SD-0435,115,95,20,-,-
368,SD-0467,115,95,20,0,0
368,SD-0493,115,95,20,0,-
368,SD-0516,115,95,20,0,0
368,SD-0537,115,95,20,-,-
368,SD-0692,115,95,0,0,20
368,SD-0745,115,95,20,0,-
368,SD-0787,115,95,20,0,0
380,SD-0269,114,90,24,0,0
380,SD-0795,114,90,24,0,0
382,SD-0263,113,100,8,0,5
382,SD-0378,113,85,20,8,-
382,SD-0421,113,100,0,8,5
382,SD-0460,113,85,28,0,0
382,SD-0760,113,80,20,8,5
387,SD-0123,112,100,12,0,-
387,SD-0179,112,100,12,0,0
387,SD-0213,112,100,4,8,-
387,SD-0243,112,100,4,8,-
387,SD-0252,112,80,24,8,0
387,SD-0466,112,100,0,12,-
387,SD-0517,112,100,4,8,0
387,SD-0634,112,80,24,8,0
387,SD-0698,112,100,12,0,-
387,SD-0716,112,100,12,-,-
387,SD-0733,112,100,0,12,0
387,SD-0777,112,100,12,0,0
387,SD-0783,112,100,4,8,0
387,SD-0807,112,100,4,8,0
387,SD-0819,112,100,12,0,0
402,SD-0124,111,95,0,16,0
402,SD-0280,111,95,4,12,0
402,SD-0286,111,95,8,8,-
402,SD-0344,111,90,8,8,5
406,SD-0099,110,100,0,-,10
406,SD-0152,110,85,20,0,5
406,SD-0166,110,90,0,20,0
406,SD-0464,110,85,20,0,5
406,SD-0549,110,90,20,0,0
406,SD-0660,110,90,20,-,-
406,SD-0666,110,90,20,0,0
406,SD-0741,110,90,20,0,0
414,SD-0062,109,100,4,0,5
414,SD-0301,109,100,4,0,5
414,SD-0419,109,85,24,-,-
414,SD-0703,109,85,24,-,-
418,SD-0022,108,100,8,-,-
418,SD-0092,108,100,0,8,0
418,SD-0150,108,100,0,8,0
418,SD-0223,108,100,0,8,0
418,SD-0239,108,100,8,0,0
418,SD-0257,108,100,8,0,-
418,SD-0261,108,100,8,-,-
418,SD-0264,108,100,8,0,0
418,SD-0288,108,80,28,0,0
418,SD-0327,108,100,8,0,0
418,SD-0333,108,100,0,8,0
418,SD-0356,108,100,8,0,0
418,SD-0361,108,75,28,0,5
418,SD-0365,108,100,8,0,0
418,SD-0372,108,100,8,0,0
418,SD-0398,108,100,8,0,0
418,SD-0454,108,100,8,0,0
418,SD-0461,108,100,0,8,0
