#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
152,HN-0150,129,100,24,0,5
152,HN-0169,129,100,24,0,5
152,HN-0352,129,100,24,0,5
156,HN-0033,128,100,20,8,0
156,HN-0132,128,100,28,-,-
156,HN-0317,128,100,20,8,0
156,HN-0336,128,100,28,0,-
156,HN-0362,128,100,28,0,-
156,HN-0372,128,100,0,8,20
156,HN-0445,128,85,28,-,15
163,HN-0479,127,95,24,8,-
164,HN-0367,126,90,28,8,-
165,HN-0016,125,95,20,0,10
165,HN-0063,125,100,20,0,5
165,HN-0103,125,80,24,16,5
165,HN-0118,125,100,20,0,5
169,HN-0172,124,100,0,24,-
169,HN-0280,124,100,20,4,0
169,HN-0355,124,100,8,16,0
169,HN-0358,124,100,24,0,-
169,HN-0361,124,95,24,0,5
169,HN-0369,124,100,24,0,0
169,HN-0451,124,100,0,24,-
169,HN-0455,124,100,24,0,-
169,HN-0478,124,95,24,0,5
178,HN-0069,123,100,0,8,15
178,HN-0125,123,90,28,-,5
178,HN-0126,123,95,28,0,0
178,HN-0173,123,95,28,0,0
178,HN-0371,123,95,20,8,0
178,HN-0477,123,95,20,8,0
184,HN-0042,122,95,4,8,15
185,HN-0080,120,100,20,0,0
185,HN-0101,120,100,20,-,-
185,HN-0102,120,80,24,16,-
185,HN-0131,120,100,20,-,0
185,HN-0135,120,100,20,0,0
185,HN-0144,120,100,20,-,0
185,HN-0311,120,100,0,0,20
185,HN-0330,120,100,20,0,-
185,HN-0343,120,100,20,-,-
185,HN-0394,120,100,20,0,-
185,HN-0419,120,100,20,-,-
185,HN-0435,120,100,20,-,-
185,HN-0441,120,100,20,0,0
198,HN-0092,119,95,24,0,-
198,HN-0345,119,95,24,0,0
198,HN-0400,119,95,24,0,0
201,HN-0326,118,90,20,8,0
202,HN-0062,117,90,4,8,15
202,HN-0104,117,100,12,0,5
202,HN-0156,117,65,24,8,20
205,HN-0412,116,80,20,16,0
206,HN-0142,115,95,12,8,0
206,HN-0312,115,100,0,0,15
206,HN-0350,115,100,0,-,15
206,HN-0399,115,95,20,-,-
206,HN-0411,115,95,20,-,0
206,HN-0422,115,95,20,0,0
206,HN-0453,115,95,20,0,-
213,HN-0186,114,90,24,0,-
213,HN-0402,114,90,24,0,0
213,HN-0449,114,80,24,0,10
216,HN-0072,113,75,8,0,30
216,HN-0147,113,85,4,24,0
216,HN-0161,113,95,8,0,10
216,HN-0443,113,85,28,0,0
220,HN-0040,112,100,12,0,0
220,HN-0070,112,100,12,-,-
220,HN-0077,112,100,12,0,-
220,HN-0124,112,100,12,0,0
220,HN-0353,112,100,0,12,-
220,HN-0384,112,100,12,-,-
220,HN-0390,112,100,0,12,-
220,HN-0410,112,100,4,8,0
220,HN-0467,112,80,24,8,0
229,HN-0139,110,85,20,0,5
229,HN-0140,110,100,0,0,10
229,HN-0181,110,90,20,0,0
229,HN-0341,110,95,0,-,15
229,HN-0389,110,90,20,0,0
234,HN-0075,109,100,4,0,5
234,HN-0151,109,100,4,0,5
234,HN-0414,109,85,24,0,0
237,HN-0099,108,100,8,0,0
237,HN-0106,108,100,0,8,0
237,HN-0107,108,95,0,8,5
237,HN-0114,108,100,8,0,0
237,HN-0121,108,100,8,0,-
237,HN-0122,108,100,8,0,0
237,HN-0148,108,100,8,0,0
237,HN-0159,108,100,8,0,0
237,HN-0163,108,100,8,0,0
237,HN-0329,108,100,8,0,0
237,HN-0338,108,100,8,0,0
237,HN-0346,108,100,8,-,0
237,HN-0398,108,100,0,8,-
237,HN-0433,108,80,12,16,0
237,HN-0442,108,100,8,0,-
237,HN-0447,108,100,8,0,0
253,HN-0416,107,75,32,-,-
254,HN-0036,105,100,0,0,5
254,HN-0068,105,100,0,0,5
254,HN-0176,105,85,20,0,0
254,HN-0195,105,100,0,0,5
254,HN-0426,105,100,0,-,5
254,HN-0472,105,95,0,-,10
260,HN-0061,104,100,4,0,-
260,HN-0129,104,95,0,4,5
260,HN-0321,104,95,4,0,5
260,HN-0349,104,100,4,0,0
260,HN-0379,104,100,4,0,0
260,HN-0403,104,100,4,0,0
260,HN-0409,104,100,4,0,-
260,HN-0413,104,100,4,0,0
260,HN-0457,104,100,4,0,0
269,HN-0165,103,95,8,-,-
269,HN-0357,103,95,8,-,0
269,HN-0393,103,95,8,0,0
269,HN-0396,103,95,8,-,-
269,HN-0427,103,75,20,8,0
274,HN-0373,102,90,12,0,0
274,HN-0471,102,90,12,0,-
