#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
171,HE-0253,80,80,0,0,0
171,HE-0256,80,80,0,-,-
178,HE-0168,78,70,8,0,0
178,HE-0198,78,70,0,8,-
180,HE-0089,76,60,16,0,-
181,HE-0106,75,75,-,-,-
181,HE-0115,75,75,0,-,-
181,HE-0131,75,75,0,0,-
181,HE-0205,75,70,0,0,5
181,HE-0215,75,75,0,-,-
181,HE-0217,75,75,0,-,-
181,HE-0224,75,75,0,0,0
188,HE-0139,74,70,4,-,0
188,HE-0255,74,70,4,0,0
190,HE-0104,73,65,8,0,0
191,HE-0235,71,55,0,16,0
192,HE-0077,70,70,0,0,0
192,HE-0151,70,70,0,0,0
192,HE-0175,70,70,0,0,0
192,HE-0178,70,70,-,-,-
192,HE-0183,70,70,0,0,0
192,HE-0210,70,70,-,0,-
192,HE-0240,70,70,0,0,0
199,HE-0103,66,50,8,8,-
200,HE-0125,65,60,0,0,5
200,HE-0156,65,65,0,-,-
200,HE-0169,65,65,0,0,0
200,HE-0173,65,65,0,0,0
200,HE-0179,65,65,0,0,0
200,HE-0194,65,65,0,0,0
200,HE-0199,65,65,-,0,-
200,HE-0204,65,65,0,0,-
208,HE-0188,64,60,4,0,-
209,HE-0088,61,0,28,8,25
210,HE-0116,60,60,0,0,0
210,HE-0135,60,35,20,0,5
210,HE-0137,60,60,0,0,0
210,HE-0141,60,60,0,-,-
210,HE-0158,60,40,20,0,0
210,HE-0160,60,60,0,0,0
216,HE-0005,50,45,0,0,5
216,HE-0206,50,50,0,0,0
218,HE-0147,45,45,0,0,0
218,HE-0157,45,45,0,0,0
220,HE-0177,42,30,-,12,-
221,HE-0086,40,40,0,0,0
222,HE-0211,38,30,0,8,0
223,HE-0223,37,25,12,0,0
224,HE-0155,35,35,0,-,-
224,HE-0201,35,35,0,-,-
226,HE-0192,30,30,0,0,0
226,HE-0212,30,30,-,-,-
228,HE-0150,29,20,4,0,5
229,HE-0163,28,20,8,0,0
230,HE-0123,25,0,20,-,5
230,HE-0167,25,25,0,0,0
230,HE-0200,25,25,0,0,0
233,HE-0189,24,20,4,0,0
234,HE-0129,20,20,0,0,0
234,HE-0164,20,0,20,0,0
236,HE-0213,15,15,0,-,0
237,HE-0184,14,10,4,0,-
238,HE-0082,8,0,8,0,0
239,HE-0190,5,5,0,0,0
239,HE-0216,5,5,0,0,0
241,HE-0045,0,0,0,-,-
241,HE-0117,0,0,0,-,-
241,HE-0118,0,0,0,-,-
241,HE-0122,0,0,0,0,0
241,HE-0174,0,0,0,0,0
241,HE-0193,0,0,0,0,0
