#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
241,BJ-0518,124,100,24,0,0
241,BJ-0571,124,100,24,0,0
241,BJ-0631,124,100,24,0,-
241,BJ-0643,124,100,8,16,0
241,BJ-0645,124,100,24,-,-
241,BJ-0657,124,100,24,-,-
241,BJ-0658,124,100,24,-,0
261,BJ-0033,123,85,28,0,10
261,BJ-0175,123,95,28,0,-
261,BJ-0191,123,95,20,8,-
261,BJ-0259,123,95,28,0,-
261,BJ-0300,123,95,28,0,0
261,BJ-0420,123,95,4,24,0
261,BJ-0427,123,95,20,8,0
261,BJ-0450,123,95,20,8,0
261,BJ-0545,123,95,28,0,0
261,BJ-0559,123,95,20,8,0
261,BJ-0576,123,95,28,-,-
261,BJ-0587,123,65,32,16,10
261,BJ-0601,123,95,28,0,-
261,BJ-0632,123,95,28,-,-
261,BJ-0655,123,95,28,-,-
276,BJ-0281,122,90,32,-,-
276,BJ-0360,122,70,52,-,-
276,BJ-0607,122,90,32,0,-
279,BJ-0511,121,80,28,8,5
280,BJ-0127,120,100,20,0,0
280,BJ-0194,120,95,20,0,5
280,BJ-0226,120,100,20,0,0
280,BJ-0272,120,100,20,-,0
280,BJ-0278,120,100,0,-,20
280,BJ-0479,120,100,20,0,-
280,BJ-0483,120,100,20,0,0
280,BJ-0539,120,100,20,-,-
280,BJ-0594,120,100,20,-,-
280,BJ-0686,120,100,12,8,-
290,BJ-0106,119,100,4,0,15
290,BJ-0182,119,95,24,0,0
290,BJ-0225,119,95,12,12,0
290,BJ-0458,119,95,24,0,-
290,BJ-0569,119,90,24,0,5
290,BJ-0687,119,95,20,4,-
296,BJ-0003,118,100,8,0,10
296,BJ-0268,118,90,-,8,20
296,BJ-0362,118,90,20,8,0
296,BJ-0562,118,90,28,-,-
296,BJ-0593,118,90,28,-,-
296,BJ-0621,118,90,20,8,0
302,BJ-0052,117,100,4,8,5
302,BJ-0134,117,85,32,-,-
302,BJ-0292,117,100,4,8,5
302,BJ-0514,117,100,12,-,5
306,BJ-0036,116,100,8,8,0
306,BJ-0070,116,100,8,8,0
306,BJ-0117,116,100,16,-,0
306,BJ-0132,116,100,0,16,-
306,BJ-0159,116,100,16,0,0
306,BJ-0228,116,100,16,-,-
306,BJ-0240,116,100,0,16,0
306,BJ-0431,116,100,8,8,0
306,BJ-0463,116,100,0,16,-
306,BJ-0489,116,100,0,16,0
316,BJ-0186,115,100,0,0,15
316,BJ-0275,115,90,0,-,25
316,BJ-0461,115,95,20,0,0
316,BJ-0473,115,95,20,-,-
316,BJ-0481,115,95,20,-,0
316,BJ-0510,115,95,0,-,20
316,BJ-0673,115,90,20,0,5
316,BJ-0675,115,95,20,0,0
316,BJ-0684,115,95,12,8,0
325,BJ-0041,114,90,0,24,-
325,BJ-0067,114,90,24,-,-
325,BJ-0183,114,90,24,0,0
325,BJ-0305,114,85,0,24,5
325,BJ-0316,114,85,0,24,5
325,BJ-0466,114,55,24,0,35
331,BJ-0139,113,100,8,-,5
331,BJ-0341,113,100,8,0,5
331,BJ-0521,113,100,8,-,5
331,BJ-0566,113,100,8,0,5
335,BJ-0144,112,100,12,-,-
335,BJ-0313,112,100,12,0,-
335,BJ-0380,112,80,24,8,0
335,BJ-0502,112,100,4,8,-
335,BJ-0517,112,100,12,0,0
335,BJ-0688,112,100,4,8,0
341,BJ-0654,111,95,8,8,-
342,BJ-0048,110,90,0,20,-
342,BJ-0098,110,90,20,-,-
342,BJ-0105,110,100,-,-,10
342,BJ-0130,110,90,20,-,-
342,BJ-0247,110,90,20,-,-
347,BJ-0556,109,100,4,0,5
348,BJ-0081,108,100,8,-,-
348,BJ-0089,108,100,-,8,0
348,BJ-0099,108,100,8,0,0
348,BJ-0189,108,80,28,0,-
348,BJ-0199,108,100,0,8,-
348,BJ-0320,108,80,28,0,0
348,BJ-0443,108,95,0,8,5
348,BJ-0448,108,100,0,8,0
348,BJ-0465,108,100,8,0,0
348,BJ-0471,108,100,8,0,0
348,BJ-0544,108,100,8,-,-
348,BJ-0547,108,100,8,0,0
348,BJ-0630,108,100,8,0,0
348,BJ-0667,108,100,8,-,-
362,BJ-0213,107,95,12,-,0
362,BJ-0467,107,90,4,8,5
364,BJ-0066,106,90,16,-,-
364,BJ-0648,106,90,8,8,-
364,BJ-0689,106,90,8,8,-
367,BJ-0135,105,100,0,0,5
367,BJ-0137,105,85,20,0,0
367,BJ-0373,105,100,0,-,5
367,BJ-0504,105,100,0,-,5
367,BJ-0505,105,100,0,0,5
367,BJ-0605,105,100,0,-,5
367,BJ-0672,105,85,20,-,-
374,BJ-0147,104,100,4,-,0
374,BJ-0171,104,100,4,-,-
374,BJ-0198,104,100,4,-,-
374,BJ-0324,104,100,4,-,-
374,BJ-0334,104,100,4,0,0
374,BJ-0335,104,100,4,-,-
374,BJ-0336,104,80,24,-,-
374,BJ-0457,104,80,20,4,-
374,BJ-0531,104,100,4,-,-
374,BJ-0573,104,100,4,-,-
374,BJ-0591,104,100,4,0,-
385,BJ-0124,103,95,8,0,0
385,BJ-0138,103,95,0,8,-
385,BJ-0370,103,95,8,0,-
385,BJ-0404,103,95,8,-,-
385,BJ-0498,103,95,8,-,-
385,BJ-0513,103,90,8,0,5
385,BJ-0663,103,95,8,0,-
385,BJ-0683,103,95,8,0,0
393,BJ-0342,102,90,12,0,0
393,BJ-0506,102,90,12,0,0
393,BJ-0604,102,90,12,0,-
396,BJ-0347,101,65,20,16,-
396,BJ-0553,101,65,28,8,-
398,BJ-0032,100,100,0,0,-
398,BJ-0046,100,85,0,0,15
398,BJ-0061,100,100,0,0,-
