#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
139,FJ-0488,136,100,28,8,-
139,FJ-0573,136,100,28,8,0
144,FJ-0149,135,100,20,0,15
144,FJ-0161,135,100,20,0,15
144,FJ-0462,135,95,24,16,0
147,FJ-0126,134,85,20,24,5
148,FJ-0047,133,100,28,0,5
148,FJ-0088,133,100,28,0,5
148,FJ-0100,133,80,44,4,5
148,FJ-0191,133,100,0,8,25
148,FJ-0471,133,100,28,0,5
148,FJ-0480,133,100,28,0,5
148,FJ-0533,133,95,28,0,10
148,FJ-0578,133,100,28,0,5
148,FJ-0582,133,100,28,0,5
157,FJ-0169,132,95,32,0,5
157,FJ-0458,132,100,8,24,0
157,FJ-0507,132,100,32,0,0
157,FJ-0514,132,100,20,12,0
157,FJ-0525,132,95,24,8,5
162,FJ-0056,129,95,4,0,30
162,FJ-0107,129,100,24,0,5
164,FJ-0032,128,95,28,0,5
164,FJ-0053,128,95,28,0,5
164,FJ-0085,128,100,28,-,-
164,FJ-0109,128,100,28,0,0
164,FJ-0114,128,100,28,0,0
164,FJ-0127,128,100,28,0,-
164,FJ-0133,128,100,20,8,0
164,FJ-0155,128,100,28,0,0
164,FJ-0218,128,95,28,-,5
164,FJ-0472,128,100,28,0,0
164,FJ-0474,128,100,28,0,0
164,FJ-0489,128,100,28,0,0
164,FJ-0490,128,100,28,0,0
164,FJ-0496,128,100,28,0,0
164,FJ-0503,128,95,24,4,5
164,FJ-0504,128,100,28,-,0
164,FJ-0505,128,100,28,0,0
164,FJ-0601,128,100,20,8,0
182,FJ-0538,127,95,24,8,0
182,FJ-0598,127,95,24,8,0
184,FJ-0125,125,100,20,0,5
184,FJ-0229,125,100,20,0,5
184,FJ-0266,125,100,20,0,5
184,FJ-0301,125,100,8,12,5
184,FJ-0522,125,100,12,8,5
184,FJ-0532,125,100,20,0,5
190,FJ-0064,124,100,24,-,-
190,FJ-0102,124,100,24,0,0
190,FJ-0104,124,100,24,0,0
190,FJ-0106,124,100,24,0,0
190,FJ-0108,124,100,24,0,0
190,FJ-0135,124,100,16,8,0
190,FJ-0317,124,100,-,24,-
190,FJ-0473,124,95,8,16,5
190,FJ-0515,124,100,24,0,0
190,FJ-0520,124,100,24,0,0
190,FJ-0537,124,100,24,0,0
190,FJ-0546,124,100,24,0,0
190,FJ-0551,124,100,24,-,-
190,FJ-0557,124,100,24,0,0
190,FJ-0562,124,100,24,0,0
190,FJ-0588,124,100,4,0,20
206,FJ-0200,123,95,28,0,0
206,FJ-0278,123,95,20,8,0
206,FJ-0486,123,95,28,0,-
206,FJ-0554,123,95,28,0,0
206,FJ-0559,123,95,20,8,0
211,FJ-0079,122,90,24,8,-
211,FJ-0115,122,90,28,4,-
211,FJ-0132,122,80,32,0,10
211,FJ-0511,122,90,24,8,0
215,FJ-0579,121,100,4,12,5
216,FJ-0037,120,95,20,0,5
216,FJ-0151,120,100,8,12,-
216,FJ-0223,120,100,12,8,0
216,FJ-0239,120,100,20,0,0
216,FJ-0242,120,100,20,0,-
216,FJ-0331,120,100,20,0,0
216,FJ-0466,120,95,20,-,5
216,FJ-0571,120,100,20,0,0
216,FJ-0577,120,100,20,0,0
216,FJ-0595,120,100,20,0,0
226,FJ-0113,119,95,24,-,0
226,FJ-0212,119,95,24,0,0
226,FJ-0294,119,95,24,-,-
226,FJ-0470,119,95,24,0,0
230,FJ-0159,118,85,0,8,25
230,FJ-0203,118,80,8,0,30
230,FJ-0295,118,95,8,0,15
230,FJ-0516,118,95,8,0,15
234,FJ-0081,117,85,24,8,0
234,FJ-0240,117,100,12,0,5
234,FJ-0483,117,100,12,0,5
